conceito_candidato,ocorrencias,esta_no_vocabulario
Infração anterior ao Sinal Final,1,False
Infração simultânea ao Sinal Final,1,False
Conduta Antidesportiva anterior ao Sinal Final,1,False
Conduta Antidesportiva simultânea ao Sinal Final,1,False
"uma punição exige Tiro Livre após o Sinal Final, então a Partida termina após o resultado imediato do Tiro Livre",1,False
"o Sinal Final ocorre durante a execução de Tiro Livre, então o Tiro Livre",1,False
"o Sinal Final ocorre durante a execução de Tiro de 6 Metros, então o Tiro de 6 Metros",1,False
"o Sinal Final ocorre enquanto a Bola está no ar após Tiro Livre, então o Tiro Livre",1,False
"o Sinal Final ocorre enquanto a Bola está no ar após Tiro de 6 Metros, então o Tiro de 6 Metros",1,False
Tiro repetido após o Sinal Final,1,False
exatamente um Resultado Imediato,1,False
Participante,1,True
Punição Pessoal durante a execução de Tiro após o Sinal Final,1,False
Infração da Equipe Executante durante o Tiro após o Sinal Final,1,False
"Sinal Final Antecipado, então os Árbitros mantêm os Atletas na Quadra de Jogo",1,False
"Sinal Final Antecipado, então os Árbitros executam o Tempo Remanescente",1,False
uma Equipe,1,False
"a Bola no Sinal Final Antecipado, então a Equipe mantém a Posse da Bola",1,False
"a Bola está fora de jogo no Sinal Final Antecipado, então a Partida",1,False
"a Bola está em jogo no Sinal Final Antecipado, então a Partida",1,False
"o Primeiro Período termina atrasado, então o Segundo Período",1,False
"o Segundo Período termina atrasado, então o Resultado da Partida",1,False
por correção temporal posterior,1,False
Árbitros determinam o início do Tempo Técnico,1,False
Árbitros determinam a duração do Tempo Técnico,1,False
Suspensão de Atleta exige Tempo Técnico,1,False
Desqualificação de Atleta exige Tempo Técnico,1,False
Tiro de 6 Metros exige Tempo Técnico,1,False
Tempo Técnico de Equipe exige Tempo Técnico,1,False
Sinal de Apito do Cronometrista exige Tempo Técnico,1,False
Sinal de Apito do Delegado Técnico exige Tempo Técnico,1,False
Consulta entre Árbitros exige Tempo Técnico,1,False
Suspensão de Oficial de Equipe exige Tempo Técnico,1,False
Desqualificação de Oficial de Equipe exige Tempo Técnico,1,False
Lesão Aparente,1,False
Sinal de Apito do Cronometrista interrompe imediatamente a Partida,1,False
Sinal de Apito do Delegado Técnico interrompe imediatamente a Partida,1,False
Ação de Jogo posterior ao Sinal de Apito da Mesa,1,False
INVÁLIDA,1,False
Gol posterior ao Sinal de Apito da Mesa,1,False
ANULADO,1,False
Reinício de Jogo assinalado após o Sinal de Apito da Mesa,1,False
INVÁLIDO,1,False
